personId;city;cityNew;flag
3891900390;Andalucía -Valle;Andalucía - Valle Del Cauca;SI
194355775;Andalucía -Valle;Andalucía - Valle Del Cauca;SI
3900217466;Andalucía -Valle;Andalucía - Valle Del Cauca;SI
3901371395;Andalucía -Valle;Andalucía - Valle Del Cauca;SI
3901369365;Armenia -Quindio;Armenia - Quindío;SI
3801001676;Armenia -Quindio;Armenia - Quindío;SI
3901592047;Armenia -Quindio;Armenia - Quindío;SI
3900488961;Armenia -Quindio;Armenia - Quindío;SI
39733979;Armenia -Quindio;Armenia - Quindío;SI
3890003838;Armenia -Quindio;Armenia - Quindío;SI
170049757;Armenia -Quindio;Armenia - Quindío;SI
3890001662;Armenia -Quindio;Armenia - Quindío;SI
3901109290;Armenia -Quindio;Armenia - Quindío;SI
116715234;Armenia -Quindio;Armenia - Quindío;SI
3901559759;Armenia -Quindio;Armenia - Quindío;SI
3900488489;Armenia -Quindio;Armenia - Quindío;SI
3901547675;Armenia -Quindio;Armenia - Quindío;SI
3890307682;Armenia -Quindio;Armenia - Quindío;SI
11094915008;Armenia -Quindio;Armenia - Quindío;SI
3901207129;Armenia -Quindio;Armenia - Quindío;SI
3801004063;Armenia -Quindio;Armenia - Quindío;SI
3830095035;Bagadó -Choco;Bagadó - Chocó;SI
180267606;Barranco Minas -Guainia;Barranco Minas - Guainía;SI
11140892471;Barranquilla -Atlantico;Barranquilla - Atlántico;SI
3890111175;Barranquilla -Atlantico;Barranquilla - Atlántico;SI
3900107992;Barranquilla -Atlantico;Barranquilla - Atlántico;SI
110768212;Barranquilla -Atlantico;Barranquilla - Atlántico;SI
172357133;Barranquilla -Atlantico;Barranquilla - Atlántico;SI
3900548985;Barranquilla -Atlantico;Barranquilla - Atlántico;SI
3901395237;Barranquilla -Atlantico;Barranquilla - Atlántico;SI
3900177052;Barranquilla -Atlantico;Barranquilla - Atlántico;SI
3900518605;Barranquilla -Atlantico;Barranquilla - Atlántico;SI
3800137059;Barranquilla -Atlantico;Barranquilla - Atlántico;SI
3900386516;Barranquilla -Atlantico;Barranquilla - Atlántico;SI
11140821023;Barranquilla -Atlantico;Barranquilla - Atlántico;SI
172347673;Barranquilla -Atlantico;Barranquilla - Atlántico;SI
11140843467;Barranquilla -Atlantico;Barranquilla - Atlántico;SI
3800031358;Barranquilla -Atlantico;Barranquilla - Atlántico;SI
11143227664;Barranquilla -Atlantico;Barranquilla - Atlántico;SI
11001939582;Barranquilla -Atlantico;Barranquilla - Atlántico;SI
11043001755;Barranquilla -Atlantico;Barranquilla - Atlántico;SI
11031128411;Boavita -Boyaca;Boavita - Boyacá;SI
180880960;Boavita -Boyaca;Boavita - Boyacá;SI
179578785;Boavita -Boyaca;Boavita - Boyacá;SI
180246578;Boavita -Boyaca;Boavita - Boyacá;SI
174323017;Boavita -Boyaca;Boavita - Boyacá;SI
171792258;Boavita -Boyaca;Boavita - Boyacá;SI
14269919;Boavita -Boyaca;Boavita - Boyacá;SI
119418066;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
179292558;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
11019120374;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
111437070;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3900785215;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
179878392;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
179627026;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3830073841;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
18316032;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
11037613064;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
11020721254;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
179400654;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
179967071;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
11022368407;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
152020506;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
11031150501;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3901123451;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
111413094;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3900459157;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
116288033;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3860530559;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
139639339;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
179463190;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
180073539;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
180164734;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
153177441;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3901000057;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3900532663;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
13291460;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
179626672;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
186072877;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
11019046553;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3900909397;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
151572501;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
179898053;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
211518637;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
179948242;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
180311927;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3830054581;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
119348518;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3901474491;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
